danci,yinbiao,yisi,liju
raging,[ˈreɪdʒɪŋ],猛烈的,during a raging pandemic... 在疫情肆虐期间
narcissism,[ˈnɑːrsɪsɪzəm],自恋,narcissistic 自恋的
How does that make you feel, ,你对此有何感想,
impractical,[ɪmˈpræktɪk(ə)l],不切实际的,
get myself together, ,自己调整好状态,
costume,[ˈkɑːstuːm],服装、戏装,
rehearsal,[rɪˈhɜːrs(ə)l],彩排、排练,
trace amount, ,微量,
identical,[aɪˈdentɪk(ə)l],同样的,
nap time, ,午睡时间,
millennial,[mɪˈleniəl],千禧年的,
optimal,[ˈɑːptɪməl],最佳的、最优的,optimal choice 最优选择
for free, ,免费地,You can use them for free.
lately,[ˈleɪtli],最近,"I've been super busy lately. (lately 常常和have been搭配，意为“最近”)
recently 更倾向于“不久前”"
one hour or even less., ,前面表达数量，后面加一个 or even less 搭配,
be proficient in, ,精通。。。,
chitchat,[ˈtʃɪtˌtʃæt],闲聊,stopped their chitchat to listen
flawless,[ˈflɔːləs],完美无瑕的,
mindful,[ˈmaɪndfl],留意的,be mindful of ...
outcast,[ˈaʊtkæst],被抛弃的、被排斥的,
meditation,[ˌmedɪˈteɪʃ(ə)n],沉思、冥想,
siege,[siːdʒ],包围、围攻,
sketch,[sketʃ],草图、素描、速写,
profound,[prəˈfaʊnd],深刻的、深奥的、高深的,
Valentine's Day, ,情人节,
underlying,[ˌʌndərˈlaɪɪŋ],潜在的,To stop a problem you have to understand its underlying causes
carry on, ,继续,xxx is the thing that's going to be carry you on throughout the years.
revise,[rɪˈvaɪz],修正、复习(英),
entertain myself, ,自娱自乐,
supplemental,[ˌsʌpləˈmentl],补充的、额外的,supplemental practice 额外的练习
outlet,[ˈaʊtlet],插座【美】,
captive,[ˈkæptɪv],俘虏,
slit,[slɪt],割开,
progressively,[prəˈɡresɪvli],逐渐地,Her symptoms became progressively worse. 她的症状逐步恶化
dandruff,[ˈdændrəf],头屑,
which one would you prefer, ,你更喜欢哪一个,
preface,[ˈprefəs],序言、开场白,
itch,[ɪtʃ],痒,I've got an itch   have an itch to do 渴望做。。
subsequent,[ˈsʌbsɪkwənt],随后的,
descend,[dɪˈsend],下（楼梯等）、下降,descend into
excavate,[ˈekskəveɪt],"挖掘（ex-, 向外。cave, 洞穴）",They plan to excavate a large hole.  excavator 挖掘机
meet standard, ,符合标准,All fair trade products must meet standards such as these
go viral, ,走红、疯狂传播,
drill,[drɪl],钻孔、钻机、操练,we should run some drills
saw,[sɔː],锯子,
grind,[ɡraɪnd],磨碎、碾碎,grinder 研磨机
grain,[ɡreɪn],谷物、颗粒,a grain of rice 一颗米粒
stack,[stæk],摞起来、叠起来,a stack of 一堆
salvage,[ˈsælvɪdʒ],抢救、打捞（物品）(词源：save),
juridical ideas, ,法制观念,
jurisdiction,[ˌdʒʊrɪsˈdɪkʃ(ə)n],管辖权、管辖范围,but all salvage operations are now under our jurisdiction.
prosecute,[ˈprɑːsɪkjuːt],起诉,prosecute sb
grievance,[ˈɡriːvəns],不满、委屈,
superior,[suːˈpɪriər],更好的，上司,"If you have grievance, you may take it up with my superiors."
gold foil, ,金箔,
start over, ,重新开始,Let's start over.
internship,[ˈɪntɜːrnʃɪp],实习,
expelled,[ɪkˈspeld],被开除,be expelled form school
blow,[bloʊ],刮、吹、打击,It was a great blow to her when her mother died. 她母亲去世对她是个巨大的打击
armrest,[ˈɑːrmrest],扶手,
stiff,[stɪf],硬的、酸痛的,
oversight,[ˈoʊvərsaɪt],监督、疏忽,
thrift,[θrɪft],节俭,thrifty 节俭的
I‘m bleeding., ,我在流血,
rip,[rɪp],撕开、扯开,ripped out 撕掉、扯掉
sort through, ,分类、整理,
wear,[wer],除了“穿”，还有“磨损”的意思,"wear down 使疲惫、消磨(意志)
all of this digital communication is wearing us down."
daunting,[ˈdɑːn.t̬ɪŋ],令人生畏的,
main goal, ,主要目标,
rift,[rɪft],不和、裂缝,We are experiencing a huge rift in our relationship. （summoner's rift 召唤师峡谷）
tragic,[ˈtrædʒɪk],悲惨的、不幸的,tragedy 悲剧
miserable,[ˈmɪzrəb(ə)l],痛苦的,
grief,[ɡriːf],悲痛,
what do we got?, ,这里什么情况,
cello,[ˈtʃeloʊ],大提琴(切洛),
pimple,[ˈpɪmpl],痘痘,
How convenient?, ,这么巧的吗,
Are you free?, ,你有空吗,
tamper with, ,篡改,Don't  tamper with evidence.
endlessly,[ˈendləsli],无休止的,
I don't think I can make it., ,我去不了 \ 我干不了,
mellow,[ˈmeloʊ],柔和的、平和的,mellow music\voice
suffocated,[ˈsʌfəkeɪtɪd],令人窒息,
excessively,[ɪkˈsesɪvli],过分的、过度的,
It wasn't until..., ,直到...,It wasn't until last night that I heard the news.（前面是not，说明之前都没发生，直到后面才发生）
rebellious,[rɪˈbeljəs],叛逆的,a rebellious teenager
prominent,[ˈprɑːmɪnənt],著名的、突出的,
fuel,[ˈfjuːəl],除了“燃料”，还有“加剧”的意思,... fueled its spread. 推动了它的传播
dismiss,[dɪsˈmɪs],解雇、摒弃、不理会、也有“驳斥“的意思,
dreaded,[ˈdredɪd],可怕的,
into,[ˈɪntuː],也可表示“感兴趣”,I‘m really into crime novels actually.
nippy,[ˈnɪpi],冷飕飕的,
allegation,[ˌæləˈɡeɪʃn],指控,
imperative,[ɪmˈperətɪv],至关重要的 （词根：empire 皇帝的命令，自然重要）,
proficient,[prəˈfɪʃ(ə)nt],熟练地,
myth,[mɪθ],神话、谬论,
scalp,[skælp],头皮,scalper 黄牛，票贩子
savage,[ˈsævɪdʒ],凶残的、野蛮的、野人,Civilization and Savagery 文明与野蛮
feud  with, ,不和、与...有世仇,
aggravate,[ˈæɡrəveɪt],加剧,aggravate  and elevate  加剧与提升
presentation,[ˌpriːz(ə)nˈteɪʃ(ə)n],外观、颁奖仪式、演示会,
rational,[ˈræʃ(ə)nəl],合理的、理性的,
irrational,[ɪˈræʃən(ə)l],不合理的，非理性的,irrational number 无理数
voyage,[ˈvɔɪɪdʒ],航行,
zip code, ,邮政编码,
cultivate,[ˈkʌltɪveɪt],培养、开垦、种植,I want to cultivate the relationship with myself.  \ cultivate fruit and vegetables
escalate,[ˈeskəleɪt],逐步升级、变得严重,The protests escalated into five days of rioting.
evacuate,[ɪˈvækjueɪt],"撤离  （e-出,向外 + -vacu-空）",
overbearing,[ˌoʊvərˈberɪŋ],"霸道的、专横的 （over-,在上，超过，bear,承担，承受。比喻用法）",
stand your ground, ,坚持你的立场,
tall order, ,苛求、离谱的要求,I think a simple request such as asking to be alone isn’t a tall order
presentable,[prɪˈzentəbl],像样的、体面的,
trip,[trɪp],除了“旅游”，还有“绊倒”的意思,Then I (gracefully) trip and fall flat on my face.  trip over 被...绊倒
decadent,[ˈdekədənt],堕落的、放纵的,
immoral,[ɪˈmɔːrəl],不道德的,morality 道德
in the first place, ,从一开始,"I never go to any parties in the first place, I just straight up say no"
immediate supervisor, ,顶头上司、直接主管,
out of the blue, ,突如其来的、出乎意料的,The decision came out of the blue.
Different strokes for different folks, ,萝卜青菜，各有所爱,
表示无聊的单词, ,如下,"dreary  沉闷、枯燥无聊的  dread  担心、害怕
tedious  沉闷的，乏味的  How I wish something would liven up this already tedious day.
bland 平淡的、乏味的
dull  沉闷的、乏味的 （词源来自于dust）"
nasty,[ˈnæsti],可恶的、讨厌的,
either way, ,不管怎样,
nosedive,[ˈnoʊzdaɪv],暴跌,
intentional,[ɪnˈtenʃən(ə)l],蓄意的,intend 打算
homicide,[ˈhɑːmɪsaɪd],杀人 (homi=human人 + -cide杀）,intentional homicide 故意杀人
nurture,[ˈnɜːrtʃər],培育、培养  [词源：nurse：护理、养育],
regulate,[ˈreɡjuleɪt],控制、调节,"They regulate our climate, purify our water. 净化水源"
stronghold,[ˈstrɔːŋhoʊld],要塞、据点,"Today, there are some of the last strongholds of wildness[荒野] and wildlife[野生动物]."
tropical,[ˈtrɑːpɪk(ə)l],热带的,"tropical forest 热带森林
tropic 热带"
draw to, ,被...吸引,Many of the creatures here are all drawn to the very same place.
start from scratch, ,从零开始,study to learn a language form scratch
criterion,[kraɪˈtɪriən],准则，标准  Practice is the sole criterion of truth.,
saliva,[səˈlaɪvə],唾液,
moderate,[ˈmɑːdərət],温和的、适中的（词源mode-模式）,"in moderation 适度的、有节制的
be sure to do it in moderation"
sports stadium, ,体育馆,
recall,[rɪˈkɔːl],记得,I don't recall meeting her before.
serene,[səˈriːn],平静、安详的,
tender,[ˈtendər],温柔的 、痛的,"Her voice was tender, full of pity.
Mr. White tenderly embraced his wife. /食物软烂的 boiled it until it was tender."
close-minded, ,思想保守的、思想封闭的,my close-minded parents
authenticity,[ˌɔːθenˈtɪsəti],真实性,authentic 真正的、正宗的
grips with, ,掌握,I'm slowly getting to grips with the language.  我慢慢开始掌握这门语言。
substantial,[səbˈstænʃ(ə)l],大量的、重要的,a substantial number of
meadow,[ˈmedoʊ],草地、草场,
scare the hell out of me, ,把我吓坏,"You scare the hell out of me!
I break out in a cold sweat. 我吓出了一身冷汗"
contract,[ˈkɑːntrækt],合同，收缩 （con-共同 tract-拉扯 相互牵扯）,
contest,[ˈkɑːntest],竞赛 （con-共同 test-测试）,
substitute,[ˈsʌbstɪtuːt],替代品、替换,There is no substitute to that.
carve,[kɑːrv],雕刻,They're carving a pumpkin. 他们在雕刻一个南瓜
squat,[skwɑːt],蹲着,
barefoot,[ˈberfʊt],赤脚的,
intimidating,[ɪnˈtɪmɪdeɪtɪŋ],令人畏惧的,intimidate  恐吓、威胁
embark,[ɪmˈbɑːrk],着手,When you embark on a new project  当你着手一个新项目时
better off, ,好得多,She's better off without him.
land a job, ,找到工作,He land a good job.
arsenal,[ˈɑːrsənl],军火、军火库,"nuclear arsenal 核武器
（同时也是足球队“阿森纳”的英语）"
foundation,[faʊnˈdeɪʃ(ə)n],基础、地基、粉底,"lay foundation 奠定基础
lay foundation for the next step"
facial expression, ,面部表情,
easier said than done, ,说来容易做起来难,
premiere,[prɪˈmɪr],(电影)首映,
setback,[ˈsetbæk],挫折,
note,[noʊt],有“注意”的意思,The second thing to note...  第二个需要注意的是
venture to do sth., ,冒险做某事,
arithmetic,[əˈrɪθmətɪk],算术、计算,"perform arithmetic 执行计算
He's not very good at arithmetic."
at sb's disposal, ,任某人支配,Three basic strategies are at your disposal.  有三种基本的策略可供选择
seamlessly,[ˈsiːmləsli],无缝地,ensure your foundation blends with your skin seamlessly.
in light of, ,鉴于,
integral,[ˈɪntɪɡrəl],不可缺少的、积分,"is an integral part of 不可或缺的、构成整体不可少的
writing essays was an integral part of my own education."
argumentative writing, ,议论文,
reasoning,[ˈriːzənɪŋ],推理、论证,explain your reasoning for the position you take.
shape or form, ,形态或形式,I don't approve of violence in any shape or form / in some way shape or form.
bear with me, ,请容我慢慢道来,
I've got used to it., ,我已经习惯了。,
neutral  (new), ,中立的,neutralise 中和、抵消
neural  (ner), ,神经的,"nerve 神经
nervous 紧张的"
subside,[səbˈsaɪd],减弱、平息,She waited nervously for his anger to subside.
understandably,[ˌʌndərˈstændəbli],可以理解的,
perform behavior, ,做出行为,so then you tend to perform a similar kind of behavior
perform well, ,表现出色,
fallible,[ˈfæləb(ə)l],易犯错的,They are only human and all too fallible
intrusive,[ɪnˈtruːsɪv],thought 侵入性思维,
exponentially,[ˌekspəˈnenʃəli],指数性的,grow exponentially 指数性增长
realm,[relm],领域(正式),...the realm of politics …政治领域。
vent,[vent],通风口、发泄,She gave vent to her anger and jealousy.
photocopy,[ˈfoʊtoʊkɑːpi],复印、复印件,
furnace,[ˈfɜːrnɪs],火炉、熔炉,
构成相关的单词, ,如下,"compose = to create 多为主动，也可以被动 Ten men compose the committee     名词：composition 成分、作文
comprise：be comprise of   The class is comprised mainly of Italian and French students.
consist：consist of 包括（不能是被动）The team consists of four Europeans and two Americans.
constitute：Women constitute about ten percent of Parliament.   名词：constitution 宪法"
come down to, ,可归结为,"comes down to the two big reasons.
The problem comes down to money."
molecule,[ˈmɑːlɪkjuːl],分子,
commiserate,[kəˈmɪzəreɪt],同情、怜悯,com-共同 miser =miserable 痛苦
exclusive,[ɪkˈskluːsɪv],独家的、独有的、专用的,exclusive partnership 独家合作伙伴
vulnerable,[ˈvʌlnərəb(ə)l],易受伤害的、脆弱的,vulnerability  漏洞、弱点
scramble,[ˈskræmb(ə)l],攀爬、炒、争夺,"scramble for sth 争夺某物 \
scramble to do sth 争前恐后做。。"
settle,[ˈset(ə)l],还有“和解”的意思,the matter was settled out of court.
track down, ,追踪,The police have so far failed to track down the attacker.
notify,[ˈnoʊtɪfaɪ],通知、告知,"notify sb of sth. 向某人告知。。
The team notifies vendors of vulnerabilities immediately.  小组迅速向品牌方告知了漏洞。"
disclose,[dɪsˈkloʊz],透露,Neither side would disclose details of the transaction.
come under fire form..., ,收受到。。的责难、谴责,
grace period, ,宽限期,
in most cases, ,在大部分情况下,
intrude,[ɪnˈtruːd],侵扰,"I'm sorry to intrude on you like this.
intrusion detection system  入侵侦测系统
intruder 侵入者"
very nature, ,(内在)本质,Due to / By  it's very nature
scandal,[ˈskænd(ə)l],丑闻,
of the year, ,本年度,the best xxx of the year. 年度最佳
malicious,[məˈlɪʃəs],恶意的,That might merely have been malicious gossip.
malware,[ˈmælwer],恶意软件,malicious+software
implication,[ˌɪmplɪˈkeɪʃ(ə)n],含义,implicate 牵连
intercept,[ˌɪntərˈsept],拦截  （cept-有“拿”的意思 ）,
infect,[ɪnˈfekt],传染、[计算机]感染(病毒),
encrypted,[ɪnˈkrɪptɪd],加密、加密的,
opt out of, ,选择退出,you may want to opt out of this feature
simply put, ,简言之,
criteria,[kraɪˈtɪriə],准则，(评判的)标准,What criteria are used for assessing(评估) a student's ability?
compromise,[ˈkɑːmprəmaɪz],折中、妥协  （com-共同 promise-承诺）,
comprehend,[ˌkɑːmprɪˈhend],理解、领悟   （com-全部 prehend-抓住）,
comprehensive,[ˌkɑːmprɪˈhensɪv],全面的、综合的  （全部-抓住-了的）,
ransom,[ˈrænsəm],赎金、赎回,ransomware 勒索软件
hostage,[ˈhɑːstɪdʒ],人质,
drone,[droʊn],无人机,
speculate,[ˈspekjuleɪt],猜测,"speculation、speculative
The internet was lit up with discussion, speculation, concerns. 网络充斥着争论、猜测、担忧。"
wouldn't it be, ,岂不是,wouldn't it be fun to open a market?  开一家商店岂不是很有趣吗？
isn't it?, ,不是吗,
You just won't xxx?, ,你就不会xxx?（表责备）,
kindergarten,[ˈkɪndərɡɑːrt(ə)n],幼儿园,
表“收入“的单词, ,如下,"sales 营业额
profit 利润
income 收入
earning 收益
revenue 企业收益、政府税收"
journalist,[ˈdʒɜːrnəlɪst],广义的记者，包括撰稿人等,reporter 特制播报记者
voluntary,[ˈvɑːlənteri],自愿的,voluntary contributions 自愿捐款
cost-effective,[ˌkɔːst ɪˈfektɪv],划算的,
tyre,[ˈtaɪər],轮胎,"I've got a flat tyre. 车胎爆了
spare tyre 备胎"
clogged,[klɑɡ],被堵住的,the toilet is clogged 马桶堵了
sth helps., ,xxx有用,
for the life of me, ,"For the life of me, I can't remeber his name. 就算要了我的命，我都记得他的名字",
explicit,[ɪkˈsplɪsɪt],清楚明确的、露骨的,her articulation is very explicit. 她的发音非常清晰
talk incoherently, ,说话语无伦次、条理不清晰,
sculpture,[ˈskʌlptʃər],雕塑,statue  雕像
among others, ,以及其他、等等,
graded reader, ,分级读物,
vague,[veɪɡ],含糊的、不明确的,
down to earth, ,脚踏实地的、务实的,
frown upon, ,不赞成、对..不悦,And they might frown upon our behavior.
pick up, ,捡起、接送、不费力学会,Where did you pick up your English?
mutually beneficial, ,互惠互利的,
schedule,[ˈskedʒuːl],日程表、计划,according to schedule 按计划
patriotic,[ˌpeɪtriˈɑːtɪk],爱国的,
precede,[prɪˈsiːd],在...之前  （时间段、文本）,
by comparison, ,相比之下,
at best, ,最多、顶多,At best she is an adequate typist. 她至多是个称职的打字员。
adequate,[ˈædɪkwət],足够的，胜任的,I have no adequate preparation. 我没有充分的准备。
a while back, ,前阵子,I had an experience a while back that I would just share with you
premature,[ˌpriːməˈtʃʊr],"过早的  （pre-前,先 + mature成熟的）","premature death 早逝
premature infant 早产儿"
ruminate,[ˈruːmɪneɪt],沉思,He ruminated on the terrible wastefulness that typified American life.
proficiency,[prəˈfɪʃ(ə)nsi],熟练度,"limited English proficiency 英语水平有限
high proficiency in reading"
tender age, ,幼年,At the tender age of 8   在8岁的小小年纪
sufferer,[ˈsʌfərər],患者,
disintegrate,[dɪsˈɪntɪɡreɪt],瓦解、解体,
terror,[ˈterər],恐惧,"Her eyes were wild with terror.
terrible 糟糕的"
entertain,[ˌentərˈteɪn],除了“娱乐”，还有“心存”的意思,the ideas we entertain 我们心存的想法
ungrateful,[ʌnˈɡreɪtfl],忘恩负义的,
as though, ,好像、仿佛,It looks as though a compromise agreement has now been reached 看起来好像现在已经达成了一个妥协协议
resolute,[ˈrezəluːt],坚决的、果断的,He is a resolute leader.  resolution 决心  New Year resolution
konw better than to, ,不至于(蠢到)去,I konw better than to ask.
I’m leaving for work., ,我去上班了,
fussy,[ˈfʌsi],爱哭闹的、爱挑剔的,"Somebody is getting a little fussy.
有人在闹小情绪了。"
rubber bands, ,橡皮筋,
Fire away, ,尽管问,
I'll get it., ,我来,
laymen,[ˈleɪmən],门外汉,specialist 专家
exterminate,[ɪkˈstɜːrmɪneɪt],灭除,
go back from..., ,从。。。回来,
booklet,[ˈbʊklət],小册子,
or rather, ,或者说、倒不如说,
pop up, ,突然出现,
amend,[əˈmend],修正,"When something not working, I jusat amend and continue."
summarize,[ˈsʌməraɪz],总结,summarize my language learning progress every week. 每周总结我的语言学习进度
entry,[ˈentri],还有“词目，词条“的意思,diary entry 日记条目
ramble,[ˈræmb(ə)l],漫步、漫谈,Thanks for listening to me ramble about my thoughts...
knowledge base, ,知识储备,It helps to increase your knowledge base and this is a scientifically-proven fact
scientifically-proven fact, ,科学证明的事实,
deceptive,[dɪˈseptɪv],欺骗性的,Looks can be deceptive.
blow one's mind, ,让某人大感震惊,This has the potential of blowing your mind.  这可能会让你大吃一惊
more than anything, ,更重要的是,
identity,[aɪˈdentəti],身份、认同,"identity card 身份证
gender/social/national identity 性别/社会/国家 认同
sense of identity 认同感"
identify,[aɪˈdentɪfaɪ],确认、认同,"police/scientist/research have identified ...
We need to identify the actual problem."
identical,[aɪˈdentɪk(ə)l],完全相同的,
hone,[hoʊn],磨炼,hone your language skills
take sth seriously, ,重视、认真对待,I didn't always take languages very seriously at school
take up, ,不止是“占据”的意思，重要的还有 ”开始“的意思,take up a new challenge/ career/ hobby/ language
motto,[ˈmɑːtoʊ],座右铭,that's really the motto I want to adopt for this year.
incorporate,[ɪnˈkɔːrpəreɪt],包含[正式]、纳入、融入,You can incorporate languages into your daily life.
corporate,[ˈkɔːrpərət],公司的、企业的,
cupboard,[ˈkʌbərd],橱柜,
come upon, ,偶遇,I came upon an old friend in the street today
scold,[skoʊld],训斥、责骂,
the general public, ,群众、公众,The site is off-limits to the general public. 这个场所不对公众开放。
general,[ˈdʒen(ə)rəl],总体的、大概的、普遍的、首席的,"general manager
总经理
general election
大选
as a general rule
一般而言"
feel like doing, ,= want 想要,
cereal,[ˈsɪriəl],麦片,
tablet,[ˈtæblət],除了“药片”，还有“平板(电脑)”的意思,
artificial,[ˌɑːrtɪˈfɪʃ(ə)l],人造的  （art- 技艺）,
authentic,[ɔːˈθentɪk],真正的、正宗的,
aesthetic,[esˈθetɪk],审美的,
synthetic,[sɪnˈθetɪk],人工合成的,
stock up, ,囤积、大量储备,
amount to, ,达到，总计于,In the 1980's computer ownership amounted to around 0.35% of the total world population.
carbonated beverage, ,(饮料 书面)  碳酸饮料,All food and beverage service have been suspended at this time.
refer to as, ,把...称作...,"In this post, we’ll explore what I refer to as the “slow-carb diet” 在这篇文章中，我将探索究一下我说指的“低碳水饮食”。"
regarding,[rɪˈɡɑːrdɪŋ],也能代替 about，,She has said nothing regarding your request.   关于你的要求，她什么也没说。
crystal clear, ,晶莹剔透的,
gutter,[ˈɡʌtər],排水沟,
imaginative,[ɪˈmædʒɪnətɪv],富有想象力的,
reach out to, ,接触,
unveil,[ˌʌnˈveɪl],揭幕、公布,He plans to unveil those policies later in June. 他计划在6月下旬公开具体政策。
hammer home, ,再三强调,"He was here to hammer home plans to spend more on education.
To hammer home this point"
reunion,[ˌriːˈjuːniən],重聚,
likewise,[ˈlaɪkwaɪz],我也是，同样的,
trendy,[ˈtrendi],时髦的,
poke,[poʊk],戳、刺、捅,Be careful to not poke your eye out. 小心别戳着眼睛。
parlor,[ˈpɑːrlər],厅、馆、店,"pizza parlor 披萨店
beauty parlor 美容院
tattoo parlor 纹身店
funeral parlor 殡仪馆"
sterilized,[ˈsterəlaɪzd],无菌的,"sterilize 给...消毒
All equipments must be sterilized before use. 所有的设备在使用前都要消毒。"
lend a hand, ,搭把手、帮个忙,Could you lend a hand a second?
crop up, ,突然出现 (crop 是庄稼的意思),"Keep calm when problems crop up.
Did something unexpected crop up?"
bracelet,[ˈbreɪslət],手镯,"pendant 坠饰
gemstone 宝石
ruby 红宝石、深红色"
platinum,[ˈplætɪnəm],白金,
appetizer,[ˈæpɪtaɪzər],开胃菜,main course 主菜
smart casual, ,休闲装,
scenic,[ˈsiːnɪk],风景优美的,"scenic spot 景点
scenery 风景"
What do you do for a living?, ,你是做什么工作的,
volume,[ˈvɑːljəm],除了“音量”，还有“体积”的意思,
flyer,[ˈflaɪər],传单,
wrap up, ,圆满完成,Let me wrap up the presentation by summarising my key points.
outset,[ˈaʊtset],开始、开端,"at the outset 起初
As I mentioned at the outset  像我起初提到的那样"
inclination,[ˌɪnklɪˈneɪʃ(ə)n],意向,She showed no inclination to go. 她没有表现出要走的意向。
elaborate,[ɪˈlæbərət],复杂精美的、详细阐述,"We will elaborate on this in the next section. 我们将在下一节对此进行详细说明。
He is known for his elaborate costumes.
他以其繁丽的服装著称。"
keen,[kiːn],渴望的、热切的,"John was very keen to help.
I’m sure many of you will be keen to ask some questions"
pressed,[prest],紧缺的、紧迫的,"are you pressed for time? 你时间紧吗？
I’d love to but I think we are a little pressed for time right now."
defective,[dɪˈfektɪv],有缺陷的,defective products 次品
flicker,[ˈflɪkər],闪烁,The TV flickers a lot when I am watching a movie.
psycho,[ˈsaɪkoʊ],神经病,What if she is a psycho or something like that?
vampire,[ˈvæmpaɪər],吸血鬼,
werewolf,[ˈwerwʊlf],狼人,
entice,[ɪnˈtaɪs],(v)诱使,enticing 诱人的
fad,[fæd],一时的狂热,I think it’s just a fad. Pretty soon this will pass.
phobia,[ˈfoʊbiə],恐惧(症),"social phobia 社恐
acrophobia  恐高症
claustrophobia  幽闭恐惧症"
weirdo,[ˈwɪrdoʊ],怪人,We are such weirdos right?
neat freak, ,有洁癖的人,
pigsty,[ˈpɪɡstaɪ],猪圈、猪舍,"Ugg, this bathroom is a pigsty!"
stain,[steɪn],污渍,
counter top, ,(厨房)台面,counter除了“计数器”，还有“柜台”的意思
Are you out of your mind?, ,你疯了吗？,
I' m outta here, ,= I am out of here 我要走了,
spoon,[spuːn],勺子,
scoop,[skuːp],舀,scoop up 舀上来
utensil,[juːˈtens(ə)l],(厨房)器皿,
curry,[ˈkɜːri],咖喱,
fluffy,[ˈflʌfi],(毛巾)柔软，(面包、糕点)松软,
sharp,[ʃɑːrp],还有“整时、整点”的意思,at 8:00 sharp 在8点整
irritate,[ˈɪrɪteɪt],刺激、激怒,irritating 烦人的、恼人的
up to date, ,最新的,We are keeping up to date with the latest developments.
licence plate, ,车牌,
respiration,[ˌrespəˈreɪʃ(ə)n],呼吸,"artificial respiration 人工呼吸
cellular respiration 细胞呼吸"
grape,[ɡreɪp],葡萄,"glucose  葡萄糖
fructose  果糖
lactose 乳糖
lactose intolerant 乳糖不耐症"
hang in there, ,坚持住,
stumble,[ˈstʌmb(ə)l],绊倒、踉跄,"He stumbled and almost fell. 他绊了一下，差点儿摔倒。
stumble upon/across/on 意外发现、意外遇到"
step away from..., ,离...远点,
walk sb to, ,送某人到,Can I walk you to the elevator？我能送你到电梯吗？
for the record, ,声明一下,"By the way, for the record..."
if anything, ,要说有什么的话,
give it a shot, ,试一下,
warm up to, ,开始有好感,I am warming up to her already.
disturbing,[dɪˈstɜːrbɪŋ],令人不安的,"I will show you something disturbing, so brace yourself."
fried,[fraɪd],除了“油炸的”意思，还有“脑子很乱”的意思。,"Jesus, I am fried！"
get your butt to, ,快给我干xxx,"get your butt to bed
get your butt over here"
elasticity,[ˌiːlæˈstɪsəti],弹性,Daily facial exercises help to retain the skin's elasticity.
forget it, ,算了,
expedition,[ˌekspəˈdɪʃ(ə)n],远征,Philip embarks on a series of expeditions to conquer the French terrirory.
annex,[ˈæneks],吞并、强占,
noble,[ˈnoʊb(ə)l],崇高的、高尚的、贵族的,"nobility 贵族
He died for a noble cause. 他为高尚事业而牺牲
She is of noble blood. 她有贵族血统。"
misinterpret,[ˌmɪsɪnˈtɜːrprət],曲解、误解,注意重音在t上
compass,[ˈkʌmpəs],指南针,
compassion,[kəmˈpæʃ(ə)n],同情,I think people can misinterpret compassion as being easy.
confrontational,[ˌkɑːnfrənˈteɪʃənl],对抗的，爱挑衅的,I think because I have a friendly demeanor and I'm not confrontational when meeting new people.
condense,[kənˈdens],简缩、冷凝,...condense them down to just 15 minutes that you can read or listen to. 缩减到15分钟让你可以读或听
deck,[dek],甲板,
chest,[tʃest],除了“胸部”，还有”储物箱“的意思,
finalize,[ˈfaɪnəlaɪz],最终敲定,
embassy,[ˈembəsi],大使馆,
quotation,[kwoʊˈteɪʃ(ə)n],引语、报价,
To whom it may concern, ,致相关人员,
back up a second, ,等一下,
due,[duː],预期的,Please note that final payment is due two working weeks before publication 请注意，最后的付款被预期在两个工作周之前支付
play it safe, ,求稳,
kind regards, ,亲切的问候,"give him my kind regards. 请代我向他致以亲切的问候
Once again my sincere thanks and kind regards. 再次致以诚挚的感谢和亲切的问候"
confirm the deal, ,达成交易,And hopefully they are going to confirm the deal on the Wednesday.
fingers crossed, ,手指交叉(祈求好运),I'll keep my fingers crossed for you. 我将为你祈祷。
high-end,[ˌhaɪ ˈend],高端的,high-end product 高端产品
division,[dɪˈvɪʒ(ə)n],"除了""除法""，还有“部门”的意思",the head of the sales division 销售部门负责人
correspond,[ˌkɔːrəˈspɑːnd],对应,"correspond with 相符
corresponding 相应的、相关的"
scenario,[səˈnærioʊ],情境,"scenario analysis  情境分析
In the worst-case scenario more than ten thousand people might be affected."
paycheck,[ˈpeɪtʃek],薪水、工资单,
Have you got a sec, ,你有时间吗,
you bet, ,当然,
first off, ,首先,
gross pay, ,工资总额,"gross 除了“恶心”，还有“总”的意思
grossly 也可指“严重的”意思"
net pay, ,净工资,
income tax, ,所得税,"sale tax 销售税
property tax 财产税"
eligible,[ˈelɪdʒəb(ə)l],有资格的、符合条件的【近义词 qualified】,He's only 17 and therefore not eligible to vote. 他只有17岁，因此没有投票选举的资格。
pull up a chair, ,拉把椅子(坐下说),
quarantine,[ˈkwɔːrəntiːn],隔离、检疫  (词源来自quara 40),"put sb into quarantine 对...实施隔离
be quarantined 被隔离"
chuck,[tʃʌk],随意乱扔,Why did you chuck that peanut at me?
running nose, ,流鼻涕,I have watery eyes and a running nose. 我的眼睛流泪，鼻子流鼻涕。
soaked,[soʊkt],浸湿的,you are soaked.  你全身都浸湿了
lunch break, ,午休时间,
bring up, ,养育、提出,"This is a really important point, I’m glad you brought it up."
i'm in a hurry, ,我赶时间,
career ladder, ,职业阶梯,
does wonder, ,产生奇效,"I heard it does wonders in getting you up to the top.
it does wonders to your skin."
Admission Test, ,入学考试,
assessment,[əˈsesmənt],评估,risk assessment 风险评估
nonsense,[ˈnɑːnsens],胡说,
